80;10
50;9
2;6
47;12
39;12
6;4
94;7
76;3
16;12
55;4
22;7
3;7
66;8
29;9
26;4
82;5
10;12
41;7
25;10
40;3
24;7
44;4
81;11
64;11
79;6
61;5
10;9
76;2
86;4
30;12
58;12
25;8
66;2
39;7
9;12
52;6
27;9
81;12
4;6
76;2
96;1
79;5
65;6
43;12
25;2
24;10
53;9
60;9
11;10
75;9
48;2
75;5
97;4
78;10
9;1
23;4
51;5
11;6
54;3
79;7
93;10
86;10
69;4
36;10
20;7
35;1
17;1
86;4
5;11
16;7
19;7
46;2
48;9
28;4
81;9
99;1
89;1
55;10
55;2
89;4
71;2
33;2
91;1
85;10
80;5
92;7
42;2
26;2
86;1
13;8
46;4
45;4
15;5
34;1
91;3
70;7
73;7
30;1
82;2
56;8
